Name,Manufacturer,Year,Model,Type,Rarity,Rarity,Country,Country,Value,PI,PI,Speed,Handling,Acceleration,Launch,Braking,Offroad
#357 Corvette,Formula Drift,2017,#357 Chevrolet Corvette Z06,Drift Cars,3,Epic,US,,"150,000 CR",S1,835,8.9,5.5,5.1,5.4,4.9,4.4
#64 Nissan 370Z,Formula Drift,2018,#64 Nissan 370Z,Drift Cars,3,Epic,US,,"300,000 CR",S1,843,7.3,5.4,5.2,5.5,4.4,4
#411 FD Corolla,Formula Drift,2019,#411 Toyota Corolla Hatchback,Drift Cars,3,Epic,US,,"300,000 CR",S1,840,7,5.2,5,5.2,5.5,4.2
#151 FD Supra,Formula Drift,2020,#151 Toyota GR Supra,Drift Cars,3,Epic,US,,"300,000 CR",S1,863,6.2,5.3,5.5,3.6,5.6,4.1
#91 BMW M2,Formula Drift,2020,#91 BMW M2,Drift Cars,3,Epic,US,,"300,000 CR",S1,839,6.7,5.3,5.2,5.6,5,3.9
#64 Nissan Z,Formula Drift,2023,#64 Forsberg Racing Nissan Z,Drift Cars,3,Epic,US,,"300,000 CR",S1,854,7.1,5.3,5.4,5.7,5.5,4.3
Datsun 280Z,Forsberg Racing,1975,"Nissan ""Gold Leader"" Datsun 280Z",Retro Sports Cars,2,Rare,US,,"100,000 CR",A,791,6.7,6.3,6.1,4.1,4.8,4.1
FR Stock Car,Forsberg Racing,2010,Toyota Gumout 2JZ Camry Stock Car,Track Toys,2,Rare,US,,"400,000 CR",S1,900,8.3,8.8,4.2,1.7,5.1,3.7
'SafariZ' 370Z,Forsberg Racing,2014,Nissan 'SafariZ' 370Z Safari Rally Tribute,Rally Monsters,3,Epic,US,,"40,000 CR",A,720,6.1,5.4,5,5.1,3.9,7.9
Altimaniac,Forsberg Racing,2021,Nissan 'Altimaniac',Drift Cars,3,Epic,US,,"300,000 CR",S1,881,7.4,5.9,5.2,5.5,6.6,4.3
Funco F9,Funco Motorsports,2018,F9,Unlimited Buggies,3,Epic,US,,"500,000 CR",S1,821,5.2,2.9,7.6,8.5,5.1,8.8
Ginetta G10 RM,Ginetta,2019,G10 RM,Track Toys,3,Epic,GB,,"500,000 CR",A,769,7.1,5.1,5.4,5.7,3.7,4.6
GMC K5 Jimmy,GMC,1970,Jimmy,Pickups & 4x4s,4,Legendary,US,,"75,000 CR",C,521,4.4,3.4,4.5,3.6,3.1,9.1
GMC Vandura,GMC,1983,Vandura G-1500,Vans & Utility,1,Common,US,,"25,000 CR",D,226,3.6,4,2.3,2.2,2.1,6.5
GMC Syclone,GMC,1991,Syclone,Vans & Utility,3,Epic,US,,"250,000 CR",C,548,5.3,4.3,5.4,2.6,2.6,5.7
GMC Typhoon,GMC,1992,Typhoon,Vans & Utility,3,Epic,US,,"250,000 CR",C,538,5.2,4.4,5.1,2.5,2.6,5.7
Barbie HUMMER EV,GMC,2022,'Barbie Movie' HUMMER EV Pickup,Pickups & 4x4s,3,Epic,US,,"250,000 CR",A,718,3.7,2.9,5.2,5.6,3.5,8.2
HUMMER EV Truck,GMC,2022,HUMMER EV Pickup,Pickups & 4x4s,3,Epic,US,,"250,000 CR",A,718,3.7,2.9,5.2,5.6,3.5,8.2
GMA T.50,Gordon Murray Automotive,2022,T.50,Hypercars,4,Legendary,GB,,"2,840,000 CR",S2,936,8,8.5,7.7,8.4,10,5.2
HDT VK Commodore,HDT,1985,VK Commodore Group A,Retro Muscle,2,Rare,AU,,"250,000 CR",C,550,5.1,4.2,3.7,2.6,2.7,5
Venom GT,Hennessey,2012,Venom GT,Hypercars,4,Legendary,US,,"1,200,000 CR",S2,911,9.8,7.4,6.8,7.4,7.8,4.1
Exorcist '19,Hennessey,2019,Camaro Exorcist,Track Toys,4,Legendary,US,,"250,000 CR",S1,857,7.8,6.7,5.6,6,6,4.6
VelociRaptor '19,Hennessey,2019,VelociRaptor 6x6,Pickups & 4x4s,4,Legendary,US,,"350,000 CR",B,634,5.2,4,5.5,2.8,4.5,10
Venom F5,Hennessey,2021,Venom F5,Hypercars,4,Legendary,US,,"3,000,000 CR",S2,964,10,9.6,6.8,7.3,8.7,4.2
Holden Monaro,Holden,1973,HQ Monaro GTS 350,Classic Muscle,1,Common,AU,,"75,000 CR",C,525,4.8,3.9,3.6,3.2,2.5,5.3
Holden Sandman,Holden,1974,Sandman HQ Panel Van,Vans & Utility,1,Common,AU,,"55,000 CR",C,501,4.8,4,3.8,3.1,2.6,5.8
Holden Torana,Holden,1977,Torana A9X,Classic Muscle,2,Rare,AU,,"130,000 CR",C,517,4.9,4,3.4,2.8,2.7,5.2
Honda Civic '74,Honda,1974,Civic RS,Retro Hot Hatch,1,Common,JP,,"25,000 CR",D,368,3.9,4.2,2.4,3,2.4,5.1
Honda Civic '84,Honda,1984,Civic CRX Mugen,Retro Hot Hatch,3,Epic,JP,,"40,000 CR",D,499,4.8,4.7,3,1.8,2.6,4.6
Honda CR-X,Honda,1991,CR-X SiR,Retro Hot Hatch,1,Common,JP,,"20,000 CR",C,534,5.1,5.1,3.2,2.3,2.9,5.4
Honda NSX-R '92,Honda,1992,NSX-R,Retro Sports Cars,3,Epic,JP,,"90,000 CR",B,691,6.2,6.1,4.9,3.8,4.3,4.6
Honda Prelude 94,Honda,1994,Prelude Si,Retro Hot Hatch,1,Common,JP,,"20,000 CR",C,521,5,4.7,3.7,3.1,3.1,5.4
Honda Civic '97,Honda,1997,Civic Type R,Retro Hot Hatch,1,Common,JP,,"25,000 CR",C,553,5.5,4.8,3.7,3,3,4.7
Honda S2000 '03,Honda,2003,S2000,Modern Sports Cars,1,Common,JP,,"25,000 CR",B,630,6,5.4,4.2,3.7,3.3,5
Honda Civic '04,Honda,2004,Civic Type R,Retro Hot Hatch,1,Common,JP,,"25,000 CR",C,600,5.4,5,4.1,3.7,3.5,5.1
Honda NSX-R '05,Honda,2005,NSX-R,Retro Sports Cars,3,Epic,JP,,"150,000 CR",B,691,6.4,5.8,5,3.8,4.7,4.9
Honda NSX-R GT,Honda,2005,NSX-R GT,Retro Sports Cars,3,Epic,JP,,"500,000 CR",A,725,6.4,6.7,5.6,4.4,5.6,4.5
Honda Civic '07,Honda,2007,Civic Type R,Hot Hatch,1,Common,JP,,"20,000 CR",C,574,5.3,5.4,4,3.2,3.7,5.2
Honda S2000 '09,Honda,2009,S2000 CR,Modern Sports Cars,1,Common,JP,,"25,000 CR",B,634,5.7,5.7,4.6,3.7,3.7,5
Honda Trophy '15,Honda,2015,Ridgeline Baja Trophy Truck,Unlimited Offroad,3,Epic,JP,,"500,000 CR",A,703,5.2,3.5,5,3.6,4.8,9.2
Honda Civic,Honda,2016,Civic Coupe,Rally Monsters,3,Epic,JP,,"155,000 CR",S1,861,5,5.6,9.2,8.4,5.8,7.3
Honda Civic '16,Honda,2016,Civic Type R,Super Hot Hatch,1,Common,JP,,"38,000 CR",B,699,6.5,6,4.7,4.8,4.3,4.6
Honda Civic '18,Honda,2018,Civic Type R,Super Hot Hatch,2,Rare,JP,,"59,000 CR",A,727,6.8,6,4.6,4.8,4.6,4.6
Hoonigan Bel Air,Hoonigan,1955,Chevrolet Bel Air,Rods & Customs,2,Rare,US,,"76,000 CR",B,621,5.7,3.8,4.1,3.1,3,6.4
Hoonicorn,Hoonigan,1965,"Ford ""Hoonicorn"" Mustang",Drift Cars,3,Epic,US,,"500,000 CR",S2,951,9.2,6.7,10,7.4,5.9,5.5
Hoonicorn v2,Hoonigan,1965,Gymkhana 10 Ford Hoonicorn Mustang,Drift Cars,3,Epic,US,,"500,000 CR",S2,952,8.8,6.6,10,7.7,5.9,5.4
Hoonigan Nova,Hoonigan,1972,Chevrolet Napalm Nova,Classic Muscle,2,Rare,US,,"50,000 CR",A,731,6.7,5.2,5,5.3,4.7,5
Hoonigan Scumbug,Hoonigan,1973,Volkswagen Baja Beetle Class 5/1600 'Scumbug',Buggies,2,Rare,US,,"300,000 CR",C,524,3.7,5.2,3.4,5.5,4.2,9.8
Hoonigan F-150,Hoonigan,1977,Gymkhana 10 Ford F-150 'Hoonitruck',Drift Cars,3,Epic,US,,"500,000 CR",S1,896,6.2,6.5,7.9,8.7,6.7,5.7
Hoonigan Escort,Hoonigan,1978,Ford Escort RS1800,Rally Monsters,3,Epic,US,,"300,000 CR",S1,820,6.2,6.7,5.7,6.1,6.3,4.2
Hoonigan RS200,Hoonigan,1986,Ford RS200 Evolution,Rally Monsters,3,Epic,US,,"500,000 CR",S2,904,7.6,6.5,9.5,5.1,5.3,8.3
Hoonigan Group A,Hoonigan,1991,Gymkhana 10 Ford Escort Cosworth Group A,Rally Monsters,3,Epic,US,,"500,000 CR",S1,862,7.8,6.2,9.1,8.7,5.3,7.6
Hoonigan Porsche,Hoonigan,1991,Rauh-Welt Begriff Porsche 911 Turbo,Retro Supercars,2,Rare,US,,"160,000 CR",S1,811,6.7,7.7,7.2,4.1,5.3,4
Twerkstallion,Hoonigan,1992,Mazda RX-7 Twerkstallion,Drift Cars,2,Rare,US,,"50,000 CR",A,799,8.3,5.8,4.6,4.7,4.5,3.8
Hoonigan Cossie,Hoonigan,1994,"Ford Escort RS Cosworth WRC ""Cossie V2""",Rally Monsters,3,Epic,US,,"500,000 CR",A,783,5.5,6.1,7.7,4,5.9,7.4
Hoonigan Focus,Hoonigan,2016,GYMKHANA 9 Ford Focus RS RX,Rally Monsters,4,Legendary,US,,"500,000 CR",S1,863,5.1,5.8,9.2,10,6.4,7
GYMKHANA 10 Focus,Hoonigan,2016,GYMKHANA 10 Ford Focus RS RX,Rally Monsters,3,Epic,US,,"500,000 CR",S1,864,5.1,5.7,9.2,10,6.4,7.2
Ford Dually HW,Hot Wheels,1949,Ford F-5 Dually Custom Hot Rod,Rods & Customs,4,Legendary,US,,"250,000 CR",B,630,4.6,5.2,5.1,5.4,3.9,5.3
Hot Wheels Metro,Hot Wheels,1957,Nash Metropolitan Custom,Rods & Customs,4,Legendary,US,,"250,000 CR",B,631,5.6,4.1,4,4,3,4.4
Twin Mill,Hot Wheels,1969,Twin Mill,Rods & Customs,4,Legendary,US,,"110,000 CR",A,798,8.6,5.2,4.9,5.2,4.5,3.8
HW Trans Am,Hot Wheels,1970,Pontiac Firebird Trans Am Custom,Track Toys,4,Legendary,US,,"300,000 CR",S1,894,6.3,6.5,6.7,7.4,6.9,3.4
Hot Wheels Deora,Hot Wheels,2000,Deora II,Rods & Customs,4,Legendary,US,,"500,000 CR",A,800,6.5,6.8,6.4,6.2,5.4,4.3
HW Ford Mustang,Hot Wheels,2005,Ford Mustang,Track Toys,4,Legendary,US,,"300,000 CR",S1,819,6.8,8.4,6.1,4.6,6.4,3.9
Bone Shaker,Hot Wheels,2011,Bone Shaker,Rods & Customs,4,Legendary,US,,"150,000 CR",A,790,6,5.2,5.7,6.2,4.9,4.2
Rip Rod,Hot Wheels,2012,Rip Rod,Unlimited Buggies,4,Legendary,US,,"300,000 CR",A,715,5.4,4.9,6,6.2,4.3,8.6
Hot Wheels BTTB,Hot Wheels,2012,Bad to the Blade,Extreme Track Toys,3,Epic,US,,"200,000 CR",S2,998,6.8,10,9.2,10,10,4.3
Baja Bone Shaker,Hot Wheels,2013,Baja Bone Shaker,Unlimited Offroad,4,Legendary,US,,"150,000 CR",B,700,6.2,4.1,6.5,5.7,4.1,10
2JetZ,Hot Wheels,2018,2JetZ,Rods & Customs,4,Legendary,US,,"250,000 CR",S1,854,6.7,5.9,6.9,7.6,5.4,3.9
HSV Maloo '14,HSV,2014,Limited Edition Gen-F GTS Maloo,Vans & Utility,2,Rare,AU,,"62,000 CR",A,742,6.5,5.5,4.8,4.6,4.8,4.4
HSV GEN-F GTS,HSV,2014,GEN-F GTS,Modern Muscle,1,Common,AU,,"75,000 CR",A,721,7,5.5,4.8,4,4.5,4.8
HUMMER H1,HUMMER,2006,H1 Alpha,Pickups & 4x4s,2,Rare,US,,"112,000 CR",D,354,4.2,2.9,2,2.5,2.4,8.6
Veloster N,Hyundai,2019,Veloster N,Super Hot Hatch,3,Epic,KR,,"30,000 CR",B,645,6,5.4,4.5,4.7,3.7,5
Hyundai i30 N,Hyundai,2020,i30 N,Super Hot Hatch,2,Rare,KR,,"250,000 CR",B,670,5.3,5.1,4.6,4.8,4.3,5.3
#98 Elantra,Hyundai,2021,#98 Bryan Herta Autosport Elantra N,Track Toys,2,Rare,KR,,"250,000 CR",A,800,5.5,7.2,4.9,2.1,8.4,5.1
IONIQ 6 '22,Hyundai,2022,IONIQ 6,Super Saloons,2,Rare,KR,,"250,000 CR",B,686,4.4,5.1,4.9,5.2,3.7,5.8
Hyundai Kona '22,Hyundai,2022,KONA N,Sports Utility Heroes,2,Rare,KR,,"250,000 CR",B,684,5.8,4.9,4.7,4.6,4.1,5.7
Infiniti Q60,Infiniti,2015,Q60 Concept,Super Saloons,1,Common,US,,"50,000 CR",A,735,6.8,5.6,4.8,5,4.7,4.6
IH Scout 800A,International,1970,Scout 800A,Pickups & 4x4s,1,Common,US,,"40,000 CR",D,384,4.1,3,2.7,3.6,2.1,7.8
ID Zerouno '18,Italdesign,2018,Zerouno,Hypercars,4,Legendary,IT,,"2,400,000 CR",S1,869,7.6,7.7,9.2,8.9,8,4.9
DaVinci,Italdesign,2019,DaVinci Concept,GT Cars,2,Rare,IT,,"150,000 CR",S1,809,7.1,5.2,6.8,7.5,4.7,5.2
Jaguar C-Type,Jaguar,1953,C-Type,Classic Racers,4,Legendary,GB,,"5,000,000 CR",C,599,5.6,3.5,4,3.5,3.1,4.9
Jaguar D-Type,Jaguar,1956,D-Type,Classic Racers,4,Legendary,GB,,"22,000,000 CR",B,630,5.6,3.8,3.8,2.6,2.8,4.4
Jaguar Mk II 3.8,Jaguar,1959,Mk II 3.8,Classic Racers,3,Epic,GB,,"80,000 CR",D,448,4.6,4.1,3.5,2.8,2.8,5.5
Jaguar E-type,Jaguar,1961,E-type,Rare Classics,3,Epic,GB,,"150,000 CR",C,525,5.2,4.2,4,2.8,2.7,5.2
Jaguar LW E-Type,Jaguar,1964,Lightweight E-Type,Classic Racers,4,Legendary,GB,,"7,500,000 CR",B,688,6.3,4.4,4.7,4.4,3.4,4.6
Jaguar XJ13,Jaguar,1966,XJ13,Classic Racers,2,Rare,GB,,"18,000,000 CR",A,779,7.6,4.9,5.1,4.4,4,4.2
Jaguar XJR-15,Jaguar,1991,Sport XJR-15,Retro Supercars,4,Legendary,GB,,"500,000 CR",S1,828,7.5,8,6,6.3,6.8,4.7
Jaguar XJ220,Jaguar,1993,XJ220,Retro Supercars,4,Legendary,GB,,"350,000 CR",A,786,7.7,6.4,5.2,2.2,5.2,4.8
Jaguar XJ220S,Jaguar,1993,XJ220S TWR,Retro Supercars,2,Rare,GB,,"400,000 CR",S1,848,8.2,6.8,6.4,2.7,6,4.6
Jaguar C-X75,Jaguar,2010,C-X75,Modern Supercars,4,Legendary,GB,,"1,500,000 CR",S1,880,8.1,7.8,9.4,10,8,4.1
Jaguar XKR-S '12,Jaguar,2012,XKR-S,GT Cars,2,Rare,GB,,"100,000 CR",A,756,7.5,6.1,4.9,5.1,4.3,4.4
Jaguar F-TYPE,Jaguar,2015,F-TYPE R Coupé,GT Cars,3,Epic,GB,,"110,000 CR",A,777,7.5,5.9,5.2,5.4,6,4.2
Jaguar XKR-S '15,Jaguar,2015,XKR-S GT,Track Toys,3,Epic,GB,,"250,000 CR",A,778,7.2,6,5.2,5.4,6.4,4.5
Jaguar XFR-S,Jaguar,2015,XFR-S,Super Saloons,2,Rare,GB,,"110,000 CR",A,728,7.5,5.7,5,5.2,4.2,4.6
Jaguar XE-S,Jaguar,2015,XE-S,Super Saloons,1,Common,GB,,"57,000 CR",B,671,6.8,5.5,4.7,4.8,3.7,4.9
Jaguar Project 7,Jaguar,2016,F-TYPE Project 7,Track Toys,3,Epic,GB,,"190,000 CR",A,786,7,6.3,5.1,5.4,6.5,4.3
Jaguar F-PACE S,Jaguar,2017,F-PACE S,Sports Utility Heroes,1,Common,GB,,"55,000 CR",B,674,6,5,5.4,4.8,3.8,6.5
Jaguar I-PACE,Jaguar,2018,I-PACE,Sports Utility Heroes,2,Rare,GB,,"87,000 CR",A,705,4.5,4.9,4.5,4.7,3.7,5.8
Jag. XE P8 '19,Jaguar,2019,XE SV Project 8,Track Toys,2,Rare,GB,,"200,000 CR",S1,830,6.7,7.2,8.1,7.2,7.9,5.7
Jag F-TYPE SVR,Jaguar,2020,F-TYPE SVR,GT Cars,2,Rare,GB,,"250,000 CR",S1,806,7.3,6.6,7.7,6.6,5.2,5.5
Jeep CJ5,Jeep,1976,CJ5 Renegade,Pickups & 4x4s,1,Common,US,,"60,000 CR",D,463,4.6,3.1,4,3.2,2.4,8
Jeep Wrangler,Jeep,2012,Wrangler Rubicon,Pickups & 4x4s,1,Common,US,,"50,000 CR",D,463,4.6,3.1,4,3.2,2.4,8
Cherokee '14,Jeep,2014,Grand Cherokee SRT,Sports Utility Heroes,1,Common,US,,"80,000 CR",B,680,6,4.1,6,5.8,4,6.7
Jeep Trailcat,Jeep,2016,Trailcat,Unlimited Offroad,2,Rare,US,,"75,000 CR",A,744,6.2,3.9,5.5,4.1,4,10
Jeep Trackhawk,Jeep,2018,Grand Cherokee Trackhawk,Sports Utility Heroes,1,Common,US,,"73,000 CR",A,749,6.9,5.1,8.5,7.8,4.9,5.6
Jeep Gladiator,Jeep,2020,Gladiator Rubicon,Pickups & 4x4s,1,Common,US,,"45,000 CR",D,456,4.8,3,3.6,3.2,2.5,8.4
#240 Jimco TT,Jimco,2019,#240 Fastball Racing Spec Trophy Truck,Unlimited Offroad,3,Epic,US,,"350,000 CR",B,623,4.5,2.9,3.8,2.9,5.2,9.3
#179 Hammerhead,Jimco,2020,#179 Hammerhead Class 1,Unlimited Buggies,2,Rare,US,,"150,000 CR",A,763,5.7,2.4,6.3,6.3,4.5,8.8
Koenigsegg CC8S,Koenigsegg,2002,CC8S,Hypercars,3,Epic,SE,,"400,000 CR",S1,846,8.7,7.6,6.1,3.8,6.4,4.7
Koenigsegg CCX,Koenigsegg,2006,CCX,Hypercars,4,Legendary,SE,,"600,000 CR",S1,870,8.8,6.9,6.1,6.5,7.6,4.9
Koenigsegg CCGT,Koenigsegg,2008,CCGT,Extreme Track Toys,4,Legendary,SE,,"1,000,000 CR",S2,965,7.8,10,6.8,7.1,10,3.9
Koenigsegg Agera,Koenigsegg,2011,Agera,Hypercars,4,Legendary,SE,,"1,500,000 CR",S1,894,9.7,7.5,6.1,6.5,7.7,4.5
Koenigsegg One,Koenigsegg,2015,One:1,Hypercars,4,Legendary,SE,,"2,800,000 CR",S2,983,10,9.5,7,7.5,10,4.3
Regera,Koenigsegg,2016,Regera,Hypercars,4,Legendary,SE,,"1,900,000 CR",S2,966,9.1,7.9,5.8,6.2,9.2,4.2
Agera RS,Koenigsegg,2017,Agera RS,Hypercars,4,Legendary,SE,,"2,000,000 CR",S2,980,10,9.7,7,7.6,9.7,4.3
Koenigsegg Jesko,Koenigsegg,2020,Jesko,Hypercars,4,Legendary,SE,,"2,800,000 CR",S2,971,10,10,6.9,7.4,9,4.4
KTM X-Bow,KTM,2013,X-Bow R,Track Toys,2,Rare,AT,,"105,000 CR",S1,802,5.2,8,6.8,7.4,7.8,3.9
KTM X-Bow GT4,KTM,2018,X-Bow GT4,Extreme Track Toys,3,Epic,AT,,"400,000 CR",S1,845,5.4,9.2,5.4,2.8,10,4.4
X-Bow GT2,KTM,2020,X-Bow GT2,Extreme Track Toys,3,Epic,AT,,"500,000 CR",S2,931,6.7,8.9,5.5,1.8,10,5.2
Lambo Miura,Lamborghini,1967,Miura P400,Rare Classics,4,Legendary,IT,,"1,000,000 CR",B,625,5.9,4.9,3.8,2.7,3.1,5.1
Espada 400GT '73,Lamborghini,1973,Espada 400 GT,Retro Supercars,2,Rare,IT,,"110,000 CR",C,597,5.8,4.7,4.1,3.1,3,5.1
Lambo LM 002,Lamborghini,1986,LM 002,Pickups & 4x4s,3,Epic,IT,,"180,000 CR",C,562,5.3,3.3,2.9,1.8,3.2,8.7
Lambo Countach,Lamborghini,1988,Countach LP5000 QV,Retro Supercars,3,Epic,IT,,"220,000 CR",A,735,6.8,6.2,4.7,3.6,4.3,4.8
Lambo Diablo SV,Lamborghini,1997,Diablo SV,Retro Supercars,3,Epic,IT,,"174,000 CR",A,763,7.7,6.2,5.2,4.2,4.9,4.6
Diablo GTR,Lamborghini,1999,Diablo GTR,Extreme Track Toys,3,Epic,IT,,"1,000,000 CR",S1,881,7.8,9,6.8,5.9,7.8,4.1
Lambo Reventón,Lamborghini,2008,Reventón,Modern Supercars,4,Legendary,IT,,"1,375,000 CR",S1,817,7.8,7,5.2,4.4,7.1,5.1
Lambo Murciélago,Lamborghini,2010,Murciélago LP 670-4 SV,Modern Supercars,3,Epic,IT,,"500,000 CR",S1,818,7.8,7.2,5.2,4.5,6.9,5
Lambo Sesto FE,Lamborghini,2011,Sesto Elemento Forza Edition,Extreme Track Toys,5,Forza Edition,IT,,"2,750,000 CR",S2,998,8.4,10,10,10,10,5.1
Lambo Sesto,Lamborghini,2011,Sesto Elemento,Extreme Track Toys,4,Legendary,IT,,"2,500,000 CR",S2,936,7.8,10,10,10,10,4.6
Lambo Gallardo,Lamborghini,2011,Gallardo LP 570-4 Superleggera,Modern Supercars,3,Epic,IT,,"280,000 CR",S1,814,7.5,7.1,7.4,6.9,5.3,5
Aventador J,Lamborghini,2012,Aventador J,Hypercars,3,Epic,IT,,"2,700,000 CR",S1,839,7.9,7.1,7.7,7,7.1,5.1
Aventador '12,Lamborghini,2012,Aventador LP700-4,Hypercars,3,Epic,IT,,"380,000 CR",S1,847,8.9,7.1,8.2,7.4,7.3,5
Gallardo Spyder,Lamborghini,2012,Gallardo LP570-4 Spyder Performante,Modern Supercars,3,Epic,IT,,"280,000 CR",A,797,7.1,6.8,6.7,6.3,6.6,5.1
Lambo Veneno,Lamborghini,2013,Veneno,Hypercars,4,Legendary,IT,,"3,000,000 CR",S2,910,8.2,9.4,8.8,8.1,9.7,4.6
Lambo Huracán,Lamborghini,2014,Huracán LP 610-4,Modern Supercars,3,Epic,IT,,"240,000 CR",S1,838,7.8,7.1,7.8,7.4,7.1,5
Lambo Centenario,Lamborghini,2016,Centenario LP 770-4,Hypercars,4,Legendary,IT,,"2,300,000 CR",S1,884,8.3,8.7,8.7,8,8.9,4.6
Aventador '16,Lamborghini,2016,Aventador Superveloce,Hypercars,3,Epic,IT,,"480,000 CR",S1,872,8.5,7.9,8.7,8,8.1,5
#63 Lambo Trofeo,Lamborghini,2018,#63 Squadra Corse Huracán Super Trofeo Evo,Extreme Track Toys,4,Legendary,IT,,"400,000 CR",S2,906,6.7,8.8,7,6.7,9.5,4.7
Aventador SVJ,Lamborghini,2018,Aventador SVJ,Hypercars,4,Legendary,IT,,"500,000 CR",S1,889,8,8.6,8.3,7.6,8.2,4.7
Lambo Huracán P,Lamborghini,2018,Huracán Performante,Track Toys,3,Epic,IT,,"275,000 CR",S1,874,7.6,8.2,9.8,10,7.9,4.7
Urus '19,Lamborghini,2019,Urus,Sports Utility Heroes,2,Rare,IT,,"150,000 CR",A,767,7.1,5.6,6.1,5.1,6.2,6.1
Lambo SCV12,Lamborghini,2020,Essenza SCV12,Extreme Track Toys,4,Legendary,IT,,"5,000,000 CR",S2,967,7.7,9.7,6.4,6.7,10,5.1
Huracán STO,Lamborghini,2020,Huracán STO,Track Toys,4,Legendary,IT,,"450,000 CR",S1,883,7.2,7.9,7.1,7.8,8.7,5
Lambo SC20,Lamborghini,2020,SC20,Hypercars,4,Legendary,IT,,"2,500,000 CR",S1,884,7.5,7.6,9.8,9.1,8.2,5.3
Lambo Sián R,Lamborghini,2020,Sián Roadster,Hypercars,4,Legendary,IT,,"3,500,000 CR",S1,881,8.8,8.1,8.3,8.1,8.1,4.6
Huracán EVO,Lamborghini,2020,Huracán EVO,Modern Supercars,2,Rare,IT,,"340,000 CR",S1,851,7.3,7.7,9.3,10,7.4,4.6
Huracán Tecnica,Lamborghini,2023,Huracán Tecnica,Modern Supercars,4,Legendary,IT,,"250,000 CR",S1,850,7.3,6.9,6.6,7.2,7.6,4.8
Lancia Fulvia,Lancia,1968,Fulvia Coupé Rallye 1.6 HF,Classic Rally,2,Rare,IT,,"250,000 CR",C,526,4.5,3.7,3.9,4,3,4.9
Lancia Stratos,Lancia,1974,Stratos HF Stradale,Classic Rally,2,Rare,IT,,"550,000 CR",C,590,5.3,4.5,4.8,4.3,3.1,6
Lancia 037,Lancia,1982,037 Stradale,Retro Rally,2,Rare,IT,,"750,000 CR",B,647,5.2,5,4.5,2.8,3.7,7.1
Lancia Delta S4,Lancia,1986,Delta S4,Retro Rally,2,Rare,IT,,"1,000,000 CR",B,682,5,4.9,5.5,5.5,3.7,7.6
Lancia Delta,Lancia,1992,Delta HF Integrale EVO,Retro Rally,1,Common,IT,,"100,000 CR",B,602,4.9,4.6,4.5,2.3,3.6,6
LR Series III,Land Rover,1972,Series III,Pickups & 4x4s,1,Common,GB,,"20,000 CR",D,100,2.6,3,1.6,2.3,2,7.2
Range Rover '73,Land Rover,1973,Range Rover,Pickups & 4x4s,1,Common,GB,,"50,000 CR",D,274,3.3,3.1,2.3,3.5,2.5,7.8
LR Defender,Land Rover,1997,Defender 90,Pickups & 4x4s,1,Common,GB,,"30,000 CR",D,366,3.8,3.2,2.7,1.8,2.5,8.2
Range Rover '15,Land Rover,2015,Range Rover Sport SVR,Sports Utility Heroes,2,Rare,GB,,"133,000 CR",A,722,6.5,4,6,6.2,4.1,7.2
Land Rover Velar,Land Rover,2018,Range Rover Velar First Edition,Sports Utility Heroes,2,Rare,GB,,"85,000 CR",B,638,6,4.1,4.4,4.1,3.7,6.9
LR Defender '20,Land Rover,2020,Defender 110 X,Sports Utility Heroes,1,Common,GB,,"80,000 CR",C,534,5.4,3.1,4.7,5,2.9,7.2
Lexus SC300,Lexus,1997,SC300,Retro Sports Cars,2,Rare,US,,"25,000 CR",C,555,5.6,5.1,4,3.1,3,5.5
Lexus LFA,Lexus,2010,LFA,Modern Supercars,3,Epic,US,,"500,000 CR",S1,810,7.4,6.6,5.8,6,7,4.5
Lexus RC F,Lexus,2015,RC F,Super Saloons,2,Rare,US,,"75,000 CR",A,741,6.7,5.9,5,5.2,5.2,4.8
Lexus #14 RC F,Lexus,2020,#14 VASSER SULLIVAN RC F GT3,Extreme Track Toys,2,Rare,US,,"295,000 CR",S1,890,7,8.2,5,3.9,8.6,4.7
Lexus RC F '20,Lexus,2020,RC F Track Edition,Track Toys,2,Rare,US,,"100,000 CR",A,777,7.1,6.8,5.4,5.7,6.5,4.4
Lexus LC 500 '21,Lexus,2021,LC 500,GT Cars,2,Rare,US,,"250,000 CR",A,719,7,5.3,4.8,5,4.4,5.2
Continental '62,Lincoln,1962,Continental,Rods & Customs,3,Epic,US,,"250,000 CR",D,381,5.3,3.6,2.6,1.7,1.9,6
Rally Fighter,Local Motors,2014,Rally Fighter,Unlimited Offroad,2,Rare,US,,"100,000 CR",A,716,6,3.8,4.5,3.6,4,10
#6 Lola T70,Lola,1969,#6 Penske Sunoco T70 MKIIIB,Classic Racers,3,Epic,GB,,"850,000 CR",S1,818,7.1,5.7,7,7.7,4.8,4.2
Lotus Elan,Lotus,1971,Elan Sprint,Classic Sports Cars,1,Common,GB,,"57,000 CR",D,443,4.6,4,3.5,2.5,2.4,4.9
Lotus Elise GT1,Lotus,1997,Elise GT1,Retro Supercars,4,Legendary,GB,,"1,800,000 CR",A,794,6.4,8.1,5.6,3.4,7.1,4.6
Lotus Elise '99,Lotus,1999,Elise Series 1 Sport 190,Retro Sports Cars,1,Common,GB,,"81,000 CR",A,711,5.3,6,5.8,4.8,5.1,4.8
